INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0301', 'Le Hai', 'F', TO_DATE('1981-05-09','YYYY-MM-DD'), '0388535001', 'Phuong 14, Quan 11, Da Nang', TO_DATE('2021-08-04','YYYY-MM-DD'), 28388681.80, 'Director', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0302', 'Nguyen Trang', 'F', TO_DATE('1989-09-15','YYYY-MM-DD'), '0360117918', 'Phuong 9, Quan 11, Nha Trang', TO_DATE('2014-06-05','YYYY-MM-DD'), 5460598.24, 'Manager', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0303', 'Tran Huy', 'F', TO_DATE('1974-10-17','YYYY-MM-DD'), '0906241877', 'Phuong 6, Quan 10, Ho Chi Minh', TO_DATE('2019-01-03','YYYY-MM-DD'), 9368493.79, 'Manager', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0304', 'Dang Nga', 'F', TO_DATE('1991-03-20','YYYY-MM-DD'), '0329945429', 'Phuong 11, Quan 7, Ha Noi', TO_DATE('2022-08-20','YYYY-MM-DD'), 28549230.15, 'inventory_manager', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0305', 'Tran Linh', 'F', TO_DATE('1976-03-30','YYYY-MM-DD'), '0358163701', 'Phuong 14, Quan 2, Can Tho', TO_DATE('2013-05-28','YYYY-MM-DD'), 14736909.50, 'inventory_manager', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0306', 'Hoang Anh', 'M', TO_DATE('1991-10-02','YYYY-MM-DD'), '0342967587', 'Phuong 16, Quan 5, Da Nang', TO_DATE('2022-06-07','YYYY-MM-DD'), 17283428.23, 'inventory_manager', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0307', 'Dang Linh', 'F', TO_DATE('1984-01-18','YYYY-MM-DD'), '0366480326', 'Phuong 4, Quan 5, Nha Trang', TO_DATE('2019-01-21','YYYY-MM-DD'), 21802800.33, 'Accountant', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0308', 'Huynh Minh', 'F', TO_DATE('1970-05-12','YYYY-MM-DD'), '0906433103', 'Phuong 14, Quan 9, Da Nang', TO_DATE('2018-07-21','YYYY-MM-DD'), 8776242.72, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0309', 'Hoang Anh', 'F', TO_DATE('2001-01-13','YYYY-MM-DD'), '0380023809', 'Phuong 16, Quan 5, Ho Chi Minh', TO_DATE('2012-08-20','YYYY-MM-DD'), 26268052.93, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0310', 'Nguyen Minh', 'M', TO_DATE('1994-02-17','YYYY-MM-DD'), '0359943349', 'Phuong 5, Quan 5, Nha Trang', TO_DATE('2024-10-12','YYYY-MM-DD'), 21761000.62, 'Staff', 'STORE2');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0311', 'Dang Dung', 'M', TO_DATE('1975-02-15','YYYY-MM-DD'), '0384922691', 'Phuong 14, Quan 11, Nha Trang', TO_DATE('2018-05-03','YYYY-MM-DD'), 29094685.94, 'Staff', 'STORE2');
