INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0601', 'Hoang Tuan', 'M', TO_DATE('1969-11-10','YYYY-MM-DD'), '0385331868', 'Phuong 10, Quan 7, Hai Phong', TO_DATE('2020-06-14','YYYY-MM-DD'), 24832671.12, 'Director', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0602', 'Nguyen Quynh', 'M', TO_DATE('1974-06-14','YYYY-MM-DD'), '0385993478', 'Phuong 14, Quan 10, Ho Chi Minh', TO_DATE('2020-06-28','YYYY-MM-DD'), 10192942.70, 'Manager', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0603', 'Vo Tuan', 'F', TO_DATE('1983-10-25','YYYY-MM-DD'), '0322131434', 'Phuong 14, Quan 3, Ha Noi', TO_DATE('2018-01-02','YYYY-MM-DD'), 17751504.61, 'Manager', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0604', 'Nguyen Huy', 'F', TO_DATE('1978-11-04','YYYY-MM-DD'), '0912610700', 'Phuong 6, Quan 6, Ha Noi', TO_DATE('2021-06-02','YYYY-MM-DD'), 19756027.66, 'inventory_manager', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0605', 'Nguyen Minh', 'F', TO_DATE('1970-02-26','YYYY-MM-DD'), '0908265986', 'Phuong 10, Quan 11, Hai Phong', TO_DATE('2016-02-18','YYYY-MM-DD'), 7201376.19, 'inventory_manager', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0606', 'Huynh Giang', 'F', TO_DATE('1992-01-12','YYYY-MM-DD'), '0344335783', 'Phuong 4, Quan 11, Da Nang', TO_DATE('2012-03-25','YYYY-MM-DD'), 20352083.59, 'inventory_manager', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0607', 'Hoang Linh', 'F', TO_DATE('1965-08-30','YYYY-MM-DD'), '0379994510', 'Phuong 12, Quan 10, Ha Noi', TO_DATE('2020-04-30','YYYY-MM-DD'), 11489879.11, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0608', 'Vu Minh', 'M', TO_DATE('1981-11-23','YYYY-MM-DD'), '0393839059', 'Phuong 7, Quan 3, Da Nang', TO_DATE('2021-11-07','YYYY-MM-DD'), 20704704.74, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0609', 'Le Hai', 'M', TO_DATE('2002-06-08','YYYY-MM-DD'), '0393079906', 'Phuong 11, Quan 11, Nha Trang', TO_DATE('2013-07-21','YYYY-MM-DD'), 25695271.69, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0610', 'Dang Huy', 'F', TO_DATE('1979-08-09','YYYY-MM-DD'), '0328389946', 'Phuong 9, Quan 1, Da Lat', TO_DATE('2011-07-10','YYYY-MM-DD'), 9116667.09, 'Staff', 'store3');
INSERT INTO STAFF (STAFF_ID, FULL_NAME, GENDER, DOB, PHONE, ADDRESS, JOIN_DATE, SALARY, JOB_TITLE, STORE_ID) VALUES ('S0611', 'Vo Thao', 'F', TO_DATE('1991-04-05','YYYY-MM-DD'), '0381727738', 'Phuong 3, Quan 8, Nha Trang', TO_DATE('2025-04-15','YYYY-MM-DD'), 25634757.69, 'Staff', 'store3');
